NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
41001,INQS 013,Recursos Nat. y Des. Sustent.,OO1,J,0800-0859,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107,8:00:00,8:59:00
41001,INQS 013,Recursos Nat. y Des. Sustent.,OO1,V,0800-0959,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/205,8:00:00,9:59:00
41001,INQS 013,Recursos Nat. y Des. Sustent.,OO1,L,0800-0959,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107,8:00:00,9:59:00
41001,INQS 013,Recursos Nat. y Des. Sustent.,OO1,A,0800-0959,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107,8:00:00,9:59:00
41001,INQS 013,Recursos Nat. y Des. Sustent.,OO1,M,0800-0959,LOPEZ - ORTEGA JOSE GERARDO,12EMA7/107,8:00:00,9:59:00
40580,INQS 026,Seguridad e Higiene Industrial,OO1,L,1600-1959,MARTINEZ - RIOS RENE,1FIQ1/202,16:00:00,19:59:00
40580,INQS 026,Seguridad e Higiene Industrial,OO1,A,1600-1859,MARTINEZ - RIOS RENE,1FIQ1/202,16:00:00,18:59:00
40580,INQS 026,Seguridad e Higiene Industrial,OO1,M,1600-1859,MARTINEZ - RIOS RENE,1FIQ1/202,16:00:00,18:59:00
40580,INQS 026,Seguridad e Higiene Industrial,OO1,J,1600-1859,MARTINEZ - RIOS RENE,1FIQ1/202,16:00:00,18:59:00
40582,INQS 024,Sistem. de Gest. de la Calidad,OO1,V,1500-1559,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101,15:00:00,15:59:00
40582,INQS 024,Sistem. de Gest. de la Calidad,OO1,L,1500-1659,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101,15:00:00,16:59:00
40582,INQS 024,Sistem. de Gest. de la Calidad,OO1,A,1500-1659,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101,15:00:00,16:59:00
40582,INQS 024,Sistem. de Gest. de la Calidad,OO1,M,1500-1659,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101,15:00:00,16:59:00
40582,INQS 024,Sistem. de Gest. de la Calidad,OO1,J,1500-1659,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/101,15:00:00,16:59:00
